smiles,pIC50 (MERS-CoV Mpro),pIC50 (SARS-CoV-2 Mpro)
CNC(=O)[C@@H](C)N1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:8|,4.52,5.98
C[C@@H](O)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:6|,5.52,6.84
CNC(=O)[C@H](C)N1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:8|,5.11,6.69
CNC(=O)[C@H](C)N1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:8|,5.68,7.11
CNCCN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |&1:6|,5.48,6.96
C[C@@H](C(=O)N(C)CC1=CC=CC(Cl)=C1F)C1=CN=CC2=CC=CC=C12,3.88,
CO[C@H](C)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:7|,5.73,6.74
CO[C@@H](C)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:7|,,4.33
CO[C@H](C)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:7|,5.4,6.44
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCOCC2)CCN1CC1=CC=CC(F)=C1 |&1:4|,4.44,5.95
"O=C(COS(=O)(=O)N1CCOCC1)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CCCC[C@H]21 |&1:25,&2:30|",4.79,5.88
CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C/C2=C\F)C2=CC(Cl)=CC=C2C1=O |&1:7|,5.06,6.75
CC(=O)N1CCN(S(=O)(=O)OCC(=O)N2CCN(CC3=CC=CC(Cl)=C3)[C@H](CC(C)C)C2)CC1 |&1:26|,4.77,7.14
C=C1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@]12CN(CC1=CC=C(OC)C=C1OC)C(=O)C1=CC=C(F)C=C12 |&1:16|,5.28,7.0
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCOCC2)CCN1CC1=CC(Cl)=CC2=CC=CC=C12 |&1:4|,5.09,6.79
"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCCCCOC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:43|",5.89,7.23
"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCCCCCCOC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:45|",5.03,6.81
"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCOCCOCCOCCOC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:49|",5.42,6.47
CN[C@@H](C)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |&1:7|,5.42,6.79
"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCOCCOCCOC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:46|",4.94,5.9
"O=C1CC[C@H](N2C(=O)C3=CC=C(N4CCN(C5=CC=C(NC(=O)CN6CC7=CC=C(Cl)C=C7[C@H](C(=O)NC7=CN=CC8=CC=CC=C78)C6)C=C5)CC4)C=C3C2=O)C(=O)N1 |&1:4,&2:33|",4.89,7.09
"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCOCCOCCOCCOCCOC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:52|",5.41,6.35
"O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCOCCOCCOCCNC1=CC=CC2=C1C(=O)N([C@H]1CCC(=O)NC1=O)C2=O |&1:12,&2:49|",5.05,6.14
"O=C(COS(=O)(=O)N1CCOCC1)N1CCN(CC2=CC=CC(Cl)=C2)[C@H]2CS(=O)(=O)C[C@H]21 |&1:25,31|",4.67,6.62
CN1C(=O)C2=CC=C(Cl)C=C2[C@]12CCN(C1=CN=CC3=CC=CC=C13)C2=O |&1:11|,3.43,4.73
O=C1N[C@]2(CCOC3=CC=C(C(F)F)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:3|,4.76,5.44
C=CC(=O)NC1=CC=CC(N(CC2=CC=CC(C3=COC=C3)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,5.58,4.81
C=CC(=O)NC1=CC=CC(N(CC2=CC=CC(C3=CC=CC=C3)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,4.96,
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC(Cl)=C1)C12CC(C1)N(CC1COC1)C2,4.17,5.4
C=CC(=O)N1CCC2=C1C=CC=C2N(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,5.42,5.08
C=CC(=O)N(C)C1=CC=CC(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,6.23,5.76
C=CC(=O)NC1=CC=CC(N(CC2=CC=C(Cl)C=C2Cl)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,4.99,4.22
C=CC(=O)NC1=CC=CC(N(CC2=CC(Cl)=CC=C2Cl)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,5.05,4.79
C=CC(=O)NC1=CC=C(F)C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,5.68,5.28
CN1C(=O)[C@]2(CCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C21 |o1:4|,4.34,4.04
CN1C(=O)[C@]2(CCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C21 |o1:4|,5.24,6.38
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC(Cl)=C1)C12CC(C1)N(C1CC1)C2,4.27,5.31
"O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC(Cl)=C1)[C@]12CC[C@H](C1)N(CC1COC1)C2 |&1:22,&2:25|",4.03,4.7
CNC(=O)C1(N2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC(Cl)=CC=C3C2=O)CC1,6.44,8.04
CC(=O)C1=CC=CC(CN2CCN(C(=O)COS(=O)(=O)N3CCOCC3)C[C@H]2CC(C)C)=C1 |&1:27|,4.45,6.13
C=CC(=O)NC1=CC=CC(N(CC2=CC=CC3=C2OC=C3)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,5.28,4.77
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NC(C)(C)C)C(=O)C1=CC=C(Cl)C=C12,5.12,6.19
O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC(F)=C2OC2=CC=CC=C21,4.61,5.26
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CC#N)C2=CC(F)=CC=C2C1=O,5.58,6.77
CC(C)NC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(Cl)=CC=C2C1=O,5.44,6.53
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1CC1)C(=O)C1=CC=C(Cl)C=C12,6.16,7.23
CC1=C(NC(=O)[C@H](CB2OC(C)(C)C(C)(C)O2)NC(=O)OC(C)(C)C)C=CC(Br)=C1Cl |&1:6|,6.94,
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN1CC(=O)NN=C1C1=CC=C(Cl)C=C12,5.64,6.35
N#CC1=CC=C2C(=C1)OC1=C(Cl)C=CC=C1CN2C(=O)CC1=CN=CC2=CC=CC=C12,5.12,
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1CC1=CC=CC=C1 |&1:18|,4.61,4.51
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](COC2=CC=CC=C2)C1 |&1:16|,4.28,4.1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2CCC2)CC1,4.0,5.67
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2(CCC2)C1,3.56,4.56
O=C(CC1=CN=CC2=CC=CC=C12)N1CC(C2CCCCC2)C1,4.59,4.74
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2(CCC2)CC1,5.13,5.79
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2COCCF)C2=CC(F)=CC=C2C1=O,5.59,6.96
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2=C(C=CS2)C1,4.58,5.84
CC[C@H]1C2=C(CCN1C(=O)CC1=CN=CC3=CC=CC=C13)SC=C2 |&1:2|,5.38,6.28
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CC=CC=C2)CC1,4.31,4.49
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NC(C)(C)C)C(=O)C1=CC=C(F)C=C12,5.11,6.53
COC1=CC=CC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:7|,4.31,4.43
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](CC2CC2)C1 |&1:17|,4.03,4.82
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1CCC1 |&1:17|,4.56,5.15
CC(C)(C#N)C1=CC=C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,5.21,6.2
N#CCC1=CC=C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,5.99,6.03
COC1=CC=C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,5.65,5.92
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](N2C=NC=N2)C1 |&1:16|,4.27,
CC1=NN(C2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2)C=C1,4.28,
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CC1)CCC(F)(F)C2,3.88,5.43
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CC=CC(F)=C2)CC1,4.31,4.71
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=C(Cl)C=C2)C1 |&1:16|,4.3,4.25
CC1=CC=C(C[C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)C=C1 |&1:6|,3.7,4.55
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2=CC=C(C(F)F)C=C2)C1 |&1:16|,4.33,4.18
O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2[C@H](C2=CC=CS2)C1 |&1:21|,3.7,4.56
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCCC2=CC=CC=C2C1,4.45,5.24
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC([C@H](F)C2=CC=CC=C2F)CC1 |&1:17|,4.28,4.5
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2CCCCC2)C1 |&1:16|,3.7,5.26
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=CC=CC=C2)C1 |&1:17|,4.92,4.74
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=NC=CO2)C1 |&1:17|,4.3,4.12
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2CCCC2)CC1,4.89,5.35
O=C1CCCN1C[C@@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12,4.32,
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC=C1 |&1:17|,4.24,4.99
CN(C)C1=CC=CC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=C1 |&1:8|,4.21,4.34
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC(F)=CC(F)=C1 |&1:17|,3.6,5.73
CC(C)NC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(F)=CC=C2C1=O,5.28,6.65
O=C(CC1=CN=CC2=CC=CC=C12)N1CCSC[C@H]1C1=CC=CS1 |&1:18|,4.63,5.27
O=C([C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12)N1CCSCC1 |&1:2|,4.35,
O=C(CC1=CN=CC2=CC=CC=C12)N1CCS[C@H](C2=CC=CC=C2)C1 |&1:17|,4.88,4.81
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCSC[C@H]1C(F)(F)F |&1:19|,4.04,4.36
C=CC(=O)NC1=CC=CC(N(CC2=CC=CC3=C2SC=C3)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,5.29,4.55
"C[C@H](CO)C[C@H]1CN(C(=O)CO)CCN1CC1=CC=CC(Cl)=C1 |&1:1,&2:5|",8.62,
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1CC1 |&1:17|,4.6,4.88
C[C@]1(C2=CC=CN=C2)CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:1|,4.26,
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CN=CS1 |&1:18|,4.24,4.49
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2(CCCC2)C1,4.0,4.98
CC1=CC=C([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)C=C1 |&1:5|,4.66,4.32
CN1C=CC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1 |&1:5|,4.26,
"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C[C@H]2CCCO2)C1 |&1:16,&2:18|",4.25,
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2CCC2)C1 |&1:16|,4.05,5.03
O=C(CC1=CN=CC2=CC=CC=C12)N1CCO[C@H](C2=CSC=C2)C1 |&1:17|,4.32,4.56
O=C(CC1=CN=CC2=CC=CC=C12)N1CC(CCC2=CC=CC=C2)C1,4.29,4.54
CN1C=C([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)C=N1 |&1:4|,4.24,
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](N2C=CC=N2)C1 |&1:17|,4.35,4.2
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](CC2=NC=CC=N2)C1 |&1:17|,9.0,
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCN2C3=CC=CC=C3C[C@H]2C1 |&1:25|,4.44,4.84
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](N2C=CC=N2)C1 |&1:16|,4.3,
CN1N=CC=C1[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1 |&1:6|,4.44,4.26
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CC=CC=C1 |&1:18|,5.18,5.11
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2CCC2)C1 |&1:17|,4.05,5.17
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1CCCC1 |&1:17|,4.53,5.59
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](CC(F)(F)F)C1 |&1:17|,4.07,4.99
O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](CF)C2(CCCC2)C1 |&1:15|,4.39,5.43
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CC2=CC(F)=CC=C2F)CC1,4.29,4.27
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1=CC=CC=N1 |&1:17|,4.03,4.11
"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](F)[C@H](C2=CC=CC=C2)C1 |&1:15,17|",4.05,4.76
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@@H]1CCC1=CC=CC=N1,4.29,
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2=CC=C(O)C=C2)C1 |&1:16|,4.31,4.06
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@](F)(C2=CC=CC=C2)C1 |&1:17|,4.85,4.55
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(F)(C2=CC=CC=C2)CC1,3.84,4.63
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=NC=CO2)C1 |&1:16|,4.25,4.02
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2=CC=CC(Cl)=C2)C1 |&1:16|,4.04,4.98
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](CCC(F)(F)F)C1 |&1:17|,4.64,4.76
CC1=NC=CC([C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1 |&1:6|,4.27,
O=C(CC1=CN=CC2=CC=CC=C12)N1CC(CC2CCC2)C1,4.74,4.94
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC(Cl)=C2)C1 |&1:16|,3.97,5.04
CC1=CC=NC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:6|,4.28,4.06
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2(CCCCC2)CC1,4.59,5.99
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CN=CO2)CC1,4.29,4.4
CC1=NNC([C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=C1 |&1:5|,9.0,
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=CN=CO2)C1 |&1:17|,4.29,4.06
N#CC1=CC=C2C(=C1)OC1=C(F)C=CC=C1CN2C(=O)CC1=CN=CC2=CC=CC=C12,4.99,4.81
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(CC2CCC2)CC1,4.39,4.97
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C2=CC=CS2)CC1,4.49,4.86
O=C1NC2=CC=C(Cl)C=C2[C@]12CCN(C1=CN=CC3=CC=CC=C13)C2=O |o1:10|,5.59,6.44
O=C1NC2=CC=C(Cl)C=C2[C@]12CCN(C1=CN=CC3=CC=CC=C13)C2=O |o1:10|,4.3,4.05
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](OCC2=CC=CC=C2)C1 |&1:16|,4.27,
"C[C@H](CO)C[C@H]1CN(C(=O)CCl)CCN1CC1=CC=CC(Cl)=C1 |&1:1,&2:5|",4.23,6.32
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NC1CCC1)C(=O)C1=CC=C(F)C=C12,5.6,6.76
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NC1COC1)C(=O)C1=CC=C(Cl)C=C12,5.7,6.77
CC1=CC(O[C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=CC=N1 |&1:5|,4.25,
CN1CCC[C@]12CCCN(C(=O)CC1=CN=CC3=CC=CC=C13)C2 |&1:5|,6.69,
"C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C[C@H]1N1C=CN=C1 |&1:1,&2:19|",4.32,
O=C(CC1=CN=CC2=CC=CC=C12)N1CCSC[C@H]1C1CCC1 |&1:18|,3.97,4.61
"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](F)C[C@H]1C1=CC=CC=C1 |&1:15,&2:18|",4.09,4.77
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](N2C=CN=C2)C1 |&1:16|,4.25,
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1(F)CC1)C(=O)C1=CC=C(Cl)C=C12,5.76,7.03
CC1=CC=C(O[C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)C=N1 |&1:6|,4.27,
O=C([C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12)N1CCCCCC1 |&1:2|,4.34,
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](CN2C=CN=N2)C1 |&1:17|,4.25,
O=C(CC1=CN=CC2=CC=CC=C12)N1CC(CC2=CC=NC=C2)C1,9.0,
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](CC2=CC=NC=C2)C1 |&1:16|,4.26,
"CC[C@H](C1=CC=CC=C1)[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:2,&2:9|",4.52,4.92
CC1=CSC([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)=N1 |&1:5|,4.97,4.32
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](N2C=NC=N2)C1 |&1:17|,4.28,
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CN=C2)C1 |&1:16|,4.27,4.1
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1=CC=CN=C1 |&1:17|,4.55,
CC1=CSC([C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=N1 |&1:5|,4.25,4.19
CC1=CSC(N2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)CC2)=N1,4.28,
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C(=O)N2CCCCC2)C1 |&1:17|,4.28,
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CN1C=NC=N1 |&1:17|,4.36,
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC=N1 |&1:17|,4.82,4.24
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CN=C2C=CC=CC2=C1 |&1:17|,4.06,4.01
"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](C2=CC=CC=C2)O[C@H](C2=CC=C(F)C=C2)C1 |&1:15,&2:23|",3.79,4.17
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=NC=CS2)C1 |&1:16|,4.3,4.29
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=NC=CS2)C1 |&1:17|,4.33,4.33
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CN1C=CC=N1 |&1:17|,4.37,
O=C(CC1=CN=CC2=CC=CC=C12)N1CCOC[C@H]1C1=CC=CS1 |&1:18|,4.87,4.53
N#CC1=CC=C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,5.79,5.37
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC(F)=C1 |&1:17|,4.22,5.77
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCSC[C@H]1C1CC1 |&1:19|,4.01,4.22
O=C(CC1=CN=CC2=CC=CC=C12)N1CCSC[C@H]1C1=CC=CC=C1 |&1:18|,4.63,4.94
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2CCC2)CC1 |&1:17|,4.07,5.48
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H](C2=CC=CC=C2)C1 |&1:18|,4.23,4.78
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](OC2=CC=CC=C2)C1 |&1:16|,7.29,4.26
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1CCCCC1 |&1:17|,5.29,5.05
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1=CC=CS1 |&1:17|,4.75,4.86
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](SC2=CC=CC(Cl)=C2)C1 |&1:16|,3.69,4.53
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC=C2)C1 |&1:16|,3.32,4.69
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@](F)(C2=CC=CC(C(F)(F)F)=C2)C1 |&1:16|,4.36,4.38
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CN1CCC(F)(F)CC1,4.12,4.47
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1=CC=C(F)C=C1F |&1:17|,4.23,4.65
O=C(CC1=CN=CC2=CC=CC=C12)N1CC(F)(F)C[C@H]1C1=CC=CC=C1 |&1:19|,5.11,4.55
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@](F)(C2=CC=CC(Cl)=C2)C1 |&1:16|,4.88,4.78
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]1CC1=CC=CC=C1 |&1:16|,4.5,4.74
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCCC[C@H]1CC1=CC=CS1 |&1:19|,4.54,4.85
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2(C3=CC=CC=C3)CC2)C1 |&1:16|,4.39,4.95
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1CC1=CC=C(F)C=C1 |&1:17|,4.33,4.65
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1CCCCCC1 |&1:17|,4.05,5.01
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1CCC1=CC=CC=C1 |&1:18|,4.51,4.67
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC=C2F)C1 |&1:16|,4.07,4.84
O=C(CC1=CN=CC2=CC=CC=C12)N1CCOC[C@H]1C1=NC2=CC=CC=C2S1 |&1:18|,4.04,4.01
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC2=CC=CC=C2S1 |&1:17|,5.08,4.56
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2CCC(F)(F)CC2)C1 |&1:16|,4.29,4.42
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=NC2=CC=CC=C2S1 |&1:18|,5.06,4.45
CCC[C@]1(CC2=CC=CC=C2)CCCN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:3|,5.01,5.1
O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@](C2=CC=CC=C2)(C(F)(F)F)C1 |&1:16|,3.53,4.75
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1CCCC1 |&1:18|,4.78,5.34
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NC1COC1)C(=O)C1=CC=C(F)C=C12,5.5,6.44
O=C(CC1=CN=CC2=CC=CC=C12)N1CCN(CC2=CC=CC=C2)C[C@H]1C1CC1 |&1:25|,4.32,4.51
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCN(CC2=CC=CC=C2)CC1,4.26,
"O=C(CC1=CN=CC2=CC=CC=C12)N1C[C@H](F)C[C@H]1C1=CC=CC(F)=C1 |&1:15,&2:18|",4.1,5.58
