smiles,MLM,HLM,KSOL,LogD,MDR1-MDCKII
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2OCC(=O)NC2=N1 |o1:3|,131.0,137.0,28.0,3.7,9.35
CC(C)(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(N)=O)N=C1)N2)C1=CC=C2OCCOC2=N1 |o1:4|,30.0,42.0,390.0,2.9,1.53
CN1N=CC(C2=CC3=C(N[C@H](C4=CC=C5OCCOC5=N4)C(C)(C)C)N=CN=C3N2)=C1C#N |o1:10|,226.0,283.0,24.0,3.3,14.0
CNCC1=CC(C2=CC3=C(N[C@H](C4=CC=C5CCCS(=O)(=O)C5=C4)C(C)C)N=CN=C3N2)=CO1 |o1:11|,40.0,67.0,358.0,2.1,0.483
CNC(=O)C1=CC2=C(N[C@H](C3=CC=C4OCC(=O)NC4=C3)C(C)C)N=CN=C2N1 |o1:9|,33.0,175.0,380.0,2.9,1.21
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1(F)CC1)C(=O)C1=CC=C(F)C=C12,486.0,122.0,,1.7,2.4
CCNC(=O)C1=CC2=C(N[C@H](C3=CC=C4CCNS(=O)(=O)C4=C3)C(C)C)N=CN=C2N1 |&1:10|,45.0,85.0,344.0,2.6,1.96
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1CC1)C(=O)C1=CC=C(F)C=C12,832.0,293.0,370.0,1.9,2.7
CCNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(Cl)=CC=C2C1=O,397.0,80.0,377.0,1.8,2.1
CC(C)[C@@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2OCCOC2=C1,129.0,47.0,20.0,3.4,5.11
CN1C(=O)C2=CC=C(Cl)C=C2[C@]12CCCN(C1=CN=CC3=CC=CC=C13)C2=O |&1:11|,43.0,16.0,376.0,1.5,8.13
CC1=CC=CC=C1OCC(=O)NC1=CN=CC(C2=CN=C3NC=CC3=C2)=C1,,113.0,6.0,,2.06
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2OCCOC2=C1,257.0,706.0,15.0,3.3,5.56
CC(C)[C@H](NC1=NC=NC(N)=C1Cl)C1=CC=C2CCCS(=O)(=O)C2=C1 |&1:3|,204.0,79.0,,2.4,10.1
CN[C@H](C)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |&1:7|,48.0,14.0,375.0,0.8,1.76
COC1=CC=C([C@H](NC(=O)C2=C3C=CNC3=NC=N2)C(C)C2=NN=NN2)C=C1 |&1:6|,1.0,2.0,,0.0,1.13
CNCC1=CC(C2=CC3=C(N[C@H](C4=CC=C5CCCS(=O)(=O)C5=C4)C(C)C)N=CN=C3N2)=CO1 |&1:11|,52.0,57.0,321.0,2.1,1.61
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2OCCOC2=N1 |o1:3|,81.0,17.0,53.0,3.7,13.7
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2OCCOC2=N1 |o1:3|,371.0,369.0,50.0,3.9,14.6
CNC(=O)CN1C=C(C2=CC3=C(N[C@H](C4=CC=C5CCCS(=O)(=O)C5=C4)C(C)C)N=CN=C3N2)C=N1 |&1:13|,77.0,94.0,306.0,2.4,0.47
CO[C@@H](C)CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:7|,557.0,114.0,376.0,2.2,8.5
CCNC(=O)C1=CC2=C(N[C@H](C3=CC=C4CCCS(=O)(=O)C4=C3)C(C)C)N=CN=C2N1 |&1:10|,85.0,108.0,336.0,2.8,0.7
CNC(=O)C1=CC2=C(N[C@H](C3=CC=C4CCCS(=O)(=O)C4=C3)C(C)C)N=CN=C2N1 |&1:9|,46.0,77.0,369.0,2.4,0.46
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(N)=O)N=C1)N2)C1=CC=C2CCCS(=O)(=O)C2=C1 |&1:3|,61.0,116.0,341.0,1.9,0.32
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(C)N=C1)N2)C1=CC=C2CCCS(=O)(=O)C2=C1 |&1:3|,155.0,141.0,94.0,3.3,1.73
CC(C)[C@H](NC1=NC=NC2=C1C=CN2)C1=CC=C2CCCS(=O)(=O)C2=C1 |o1:3|,55.0,21.0,386.0,2.5,3.55
CC(C)[C@H](NC1=NC=NC2=C1C=CN2)C1=CC=C2CCCS(=O)(=O)C2=C1 |o1:3|,207.0,57.0,374.0,2.7,5.5
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(=O)N(C)C)N=C1)N2)C1=CC=C2CCCS(=O)(=O)C2=C1 |&1:3|,68.0,106.0,38.0,2.1,0.67
CNC(=O)C1=CNC2=NC=NC(N[C@H](C3=CC=C4CCCS(=O)(=O)C4=C3)C(C)C)=C12 |&1:13|,192.0,131.0,390.0,2.5,2.23
CNC(=O)C1=CNC2=NC=NC(N[C@H](C3=CC=C4OCC(=O)NC4=C3)C(C)C)=C12 |&1:13|,113.0,86.0,28.0,3.2,4.26
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2CCCS(=O)(=O)C2=C1 |&1:3|,440.0,490.0,34.0,3.6,1.97
COCCNC(=O)C1=CNC2=NC=NC(N[C@H](C3=CC=C4CCCS(=O)(=O)C4=C3)C(C)C)=C12 |&1:16|,888.0,540.0,378.0,2.8,1.62
CC(C)(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(N)=O)N=C1)N2)C1=CC=C2OCCOC2=N1 |&1:4|,31.0,36.0,48.0,2.7,0.822
CC(C)[C@H](NC1=NC=NC2=C1C(C(=O)NC1CC1)=CN2)C1=CC=C2CCCS(=O)(=O)C2=C1 |&1:3|,234.0,29.0,257.0,3.1,2.46
CN1N=CC(C2=CC3=C(N[C@H](C4=CC=C5OCCOC5=N4)C(C)(C)C)N=CN=C3N2)=C1C#N |&1:10|,209.0,81.0,24.0,2.7,13.5
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2OCC(=O)NC2=N1 |&1:3|,145.0,70.0,29.0,3.7,9.83
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(N)=O)N=C1)N2)C1=CC=C2OCCOC2=N1 |&1:3|,12.0,14.0,385.0,2.4,2.46
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(N)=O)N=C1)N2)C1=CC=C2OCC(=O)NC2=C1 |&1:3|,11.0,17.0,25.0,2.5,1.36
CNC(=O)CN1C=C(C2=CC3=C(N[C@H](C4=CC=C5OCCOC5=C4)C(C)C)N=CN=C3N2)C=N1 |&1:13|,47.0,119.0,289.0,2.9,1.94
CNC(=O)C1=CC2=C(N[C@H](C3=CC=C4OCC(=O)NC4=C3)C(C)C)N=CN=C2N1 |&1:9|,20.0,52.0,372.0,2.8,0.873
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2OCC(=O)NC2=C1 |&1:3|,177.0,100.0,69.0,4.1,3.07
CC(C)(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(N)=O)N=C1)N2)C1=CC=C2OCCOC2=C1 |&1:4|,47.0,133.0,195.0,3.2,1.66
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CCC(N)=O)N=C1)N2)C1=CC=C2OCCOC2=C1 |&1:3|,62.0,99.0,236.0,3.0,1.46
CN1N=CC(C2=CC3=C(N[C@H](C4=CC=C5OCCOC5=C4)C(C)(C)C)N=CN=C3N2)=C1C#N |&1:10|,199.0,85.0,25.0,2.9,2.79
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(=O)N(C)C)N=C1)N2)C1=CC=C2OCCOC2=C1 |&1:3|,59.0,142.0,210.0,2.3,1.14
CC(C)[C@H](NC1=NC=NC2=C1C=CN2)C1=CC=C2OCC(=O)NC2=C1 |o1:3|,80.0,31.0,374.0,2.2,8.7
"C[C@H](C(=O)O)[C@H](NC(=O)C1=NC=NC2=C1C=CN2)C1=CC=C(Br)C=C1 |&1:1,&2:5|",4.0,5.0,386.0,0.5,1.4
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(N)=O)N=C1)N2)C1=CC=C2OCCOC2=C1 |o1:3|,42.0,238.0,332.0,2.9,1.87
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(N)=O)N=C1)N2)C1=CC=C2OCCOC2=C1 |o1:3|,16.0,47.0,280.0,2.9,1.09
CC(C)[C@H](NC1=NC=NC2=C1C=CN2)C1=CC=C2OCC(=O)NC2=C1 |o1:3|,37.0,10.0,371.0,1.8,3.4
CCNC(=O)C1=CC2=C(N[C@H](C3=CC=C4OCCOC4=C3)C(C)C)N=CN=C2N1 |&1:10|,88.0,85.0,72.0,3.0,2.41
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2OCCOC2=N1 |&1:3|,139.0,56.0,89.0,3.4,12.8
CC(C)[C@H](NC1=NC=NC2=C1C(C(N)=O)=CN2)C1=CC=C2OCCOC2=C1 |&1:3|,142.0,143.0,375.0,3.2,11.1
CNC(=O)C1=CNC2=NC=NC(N[C@H](C3=CC=C4OCCOC4=C3)C(C)C)=C12 |&1:13|,88.0,79.0,319.0,3.6,16.2
COC1=CC=C([C@H](CC2=NN=NN2)NC(=O)C2=NC=NC3=C2C=CN3)C=C1 |&1:6|,0.0,5.0,395.0,-0.1,1.39
CNC(=O)C1=CC2=C(N[C@H](C3=CC=C4OCCOC4=C3)C(C)C)N=CN=C2N1 |&1:9|,55.0,79.0,380.0,2.76,1.96
CC(C)[C@H](NC1=NC=NC2=C1C=CN2)C1=CC=C2CCCS(=O)(=O)C2=C1 |&1:3|,138.0,37.0,385.0,2.5,3.3
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(N)=O)N=C1)N2)C1=CC=C2OCCOC2=C1 |&1:3|,41.0,99.0,345.0,0.9,0.9
CC(C)[C@H](NC1=NC=NC2=C1C=CN2)C1=CC=C2OCCOC2=C1 |o1:3|,1680.0,64.0,374.0,3.0,31.5
CC(C)[C@H](NC1=NC=NC2=C1C=CN2)C1=CC=C2OCCOC2=N1 |&1:3|,170.0,31.0,391.0,2.8,20.7
CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2OCCOC2=C1 |&1:3|,218.0,74.0,17.0,3.0,4.2
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1=NN(C)C=C1)C(=O)C1=CC=C(Cl)C=C12,398.0,519.0,382.0,1.8,1.51
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1=CC=NN1C)C(=O)C1=CC=C(Cl)C=C12,365.0,364.0,375.0,2.0,0.844
CC(C)NC[C@H](O)COC1=CC=C(CC(N)=O)C=C1 |&1:5|,,,,,0.7
C[C@H](C(=O)O)C1=CC=CC(C(=O)C2=CC=CC=C2)=C1 |&1:1|,,,,,14.6
"C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)C1=CC=NC2=CC=C(OC)C=C12 |a:2,7,9,10|",,,,,13.9
C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,,,,,0.6
"CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2CC2CC2)C2=CC(Cl)=CC=C2C1=O |o1:7,22|",77.0,83.0,372.0,2.3,1.73
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(Cl)=CC=C2C1=O,75.0,23.0,378.0,1.94,2.7
"O=C(NC1=C2NC=C(C(=O)N[C@H]3C4=CC=CC=C4C[C@H]3C(=O)O)C2=CC=C1)NC1CC1 |&1:11,19|",4.0,6.0,,-0.05,1.8
COC1=CC=C([C@H](CC(=O)O)NC(=O)C2=NC=NC3=C2C=CN3)C=C1 |&1:6|,2.0,7.0,,-0.38,1.7
"CNC(=O)CN1C[C@]2(CCN(C3=CN=CC4=CC=C(OC[C@H](O)CN(C)C)C=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |&1:7,&2:21|",2.0,8.0,383.0,0.19,1.4
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC=CC=C2C1=O,17.0,3.0,391.0,0.7,1.1
COC1=CC=C2C(=C1)CCN(C1=NC=NC3=C1C=CN3)[C@H]2C(C)C |&1:20|,321.0,60.0,14.0,4.33,7.0
CC(C)[C@H](NC1=NC=NC2=C1C=CN2)C1=CC=C2OCCOC2=C1 |&1:3|,340.0,50.0,224.0,3.2,26.8
CC(C)[C@H](CO)NC1=NC=NC2=C1C=CN2,10.0,6.0,,1.69,13.1
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=C(C=CC(F)=C2)C1=O,23.0,1.0,,1.07,1.7
C=CC(=O)NC1=CC=CC(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,2380.0,1070.0,24.7,3.8,8.0
O=C(O)C[C@H](NC(=O)C1=NC=NC2=C1C=CN2)C1=CC=C(Br)C=C1 |&1:4|,1.0,6.0,,0.22,2.6
O=C(NC1=CC=CC=C1)NC1=CC=C(C(=O)NC2C3=C(CC2C(=O)O)C(O)=CC=C3)C=C1,2.0,9.0,319.0,0.12,0.7
C=CC(=O)N1CCCC2=CC=C(N(CC3=CC=CC(C(F)(F)F)=C3)C(=O)CC3=CN=CC4=CC=CC=C34)C=C21,2150.0,614.0,,,
C=CC(=O)N1CCCC2=CC=C(N(CC3=CC=CC(Cl)=C3)C(=O)CC3=CN=CC4=C(F)C=CC=C34)C=C21,1920.0,752.0,,,
C=CC(=O)N1CCCC2=CC=C(N(C(=O)CC3=CN=CC4=CC=CC=C34)N(C)C3=CC=CC(Cl)=C3)C=C21,1760.0,1380.0,,,
CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C21,169.0,,,,
CC(C)NC[C@H](O)COC1=CC=CC2=CC=CC=C12 |&1:5|,63.0,25.5,,,
O=C(O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,386.0,216.0,,,
NCC1=CC(Cl)=CC(C(=O)NC2=CC=C3CNCC3=C2)=C1,,,,2.0,
COC(=O)NC1=NC2=CC=C(C(=O)C3=CC=CC=C3)C=C2N1,,,,2.9,
CC1=NC=CN1C[C@H]1CCC2=C(C1=O)C1=CC=CC=C1N2C |&1:7|,,,127.0,,
